IV,Ciphertext
04ff00,c8
04ff01,4c
04ff02,00
04ff03,14
04ff04,31
04ff05,3a
04ff06,4e
04ff07,e1
04ff08,72
04ff09,56
04ff0a,6b
04ff0b,35
04ff0c,65
04ff0d,46
04ff0e,57
04ff0f,00
04ff10,a0
04ff11,5e
04ff12,08
04ff13,4b
04ff14,34
04ff15,32
04ff16,db
04ff17,aa
04ff18,ed
04ff19,fb
04ff1a,ba
04ff1b,65
04ff1c,ac
04ff1d,ca
04ff1e,68
04ff1f,0d
04ff20,e6
04ff21,aa
04ff22,65
04ff23,9a
04ff24,65
04ff25,4a
04ff26,9a
04ff27,8a
04ff28,41
04ff29,e8
04ff2a,0a
04ff2b,42
04ff2c,b3
04ff2d,db
04ff2e,a4
04ff2f,fb
04ff30,22
04ff31,80
04ff32,29
04ff33,5f
04ff34,98
04ff35,e6
04ff36,86
04ff37,23
04ff38,39
04ff39,a3
04ff3a,c8
04ff3b,6e
04ff3c,b0
04ff3d,c6
04ff3e,37
04ff3f,b9
04ff40,eb
04ff41,89
04ff42,33
04ff43,c9
04ff44,1c
04ff45,b8
04ff46,bd
04ff47,4e
04ff48,d4
04ff49,56
04ff4a,34
04ff4b,f3
04ff4c,c4
04ff4d,33
04ff4e,65
04ff4f,65
04ff50,14
04ff51,96
04ff52,b9
04ff53,7f
04ff54,d9
04ff55,6f
04ff56,33
04ff57,a0
04ff58,a8
04ff59,45
04ff5a,c3
04ff5b,07
04ff5c,f2
04ff5d,88
04ff5e,6a
04ff5f,57
04ff60,88
04ff61,2e
04ff62,03
04ff63,0b
04ff64,e8
04ff65,65
04ff66,39
04ff67,c7
04ff68,a2
04ff69,60
04ff6a,17
04ff6b,ea
04ff6c,5c
04ff6d,39
04ff6e,36
04ff6f,5d
04ff70,0e
04ff71,b7
04ff72,5a
04ff73,4f
04ff74,92
04ff75,fe
04ff76,3f
04ff77,d7
04ff78,50
04ff79,7a
04ff7a,01
04ff7b,1e
04ff7c,ab
04ff7d,6e
04ff7e,73
04ff7f,0c
04ff80,d5
04ff81,35
04ff82,7d
04ff83,3e
04ff84,e3
04ff85,8f
04ff86,23
04ff87,dd
04ff88,70
04ff89,0f
04ff8a,fa
04ff8b,4c
04ff8c,d8
04ff8d,6c
04ff8e,fd
04ff8f,88
04ff90,fa
04ff91,19
04ff92,1c
04ff93,43
04ff94,dd
04ff95,65
04ff96,0b
04ff97,65
04ff98,d2
04ff99,10
04ff9a,97
04ff9b,5a
04ff9c,55
04ff9d,c9
04ff9e,05
04ff9f,37
04ffa0,d8
04ffa1,5d
04ffa2,65
04ffa3,10
04ffa4,37
04ffa5,ef
04ffa6,01
04ffa7,d3
04ffa8,2c
04ffa9,e7
04ffaa,81
04ffab,0b
04ffac,cb
04ffad,41
04ffae,58
04ffaf,b1
04ffb0,b9
04ffb1,71
04ffb2,51
04ffb3,f9
04ffb4,f0
04ffb5,81
04ffb6,36
04ffb7,85
04ffb8,b8
04ffb9,37
04ffba,2d
04ffbb,77
04ffbc,b7
04ffbd,3b
04ffbe,a8
04ffbf,07
04ffc0,99
04ffc1,ea
04ffc2,1a
04ffc3,d0
04ffc4,20
04ffc5,ab
04ffc6,1c
04ffc7,94
04ffc8,aa
04ffc9,0a
04ffca,76
04ffcb,ef
04ffcc,74
04ffcd,03
04ffce,74
04ffcf,dc
04ffd0,91
04ffd1,b4
04ffd2,bb
04ffd3,49
04ffd4,65
04ffd5,51
04ffd6,7f
04ffd7,65
04ffd8,e7
04ffd9,f8
04ffda,65
04ffdb,c0
04ffdc,8c
04ffdd,28
04ffde,65
04ffdf,06
04ffe0,82
04ffe1,be
04ffe2,7f
04ffe3,b9
04ffe4,4c
04ffe5,07
04ffe6,d7
04ffe7,68
04ffe8,da
04ffe9,7f
04ffea,69
04ffeb,0b
04ffec,d9
04ffed,65
04ffee,0b
04ffef,77
04fff0,b3
04fff1,c7
04fff2,0e
04fff3,71
04fff4,7f
04fff5,1d
04fff6,0f
04fff7,86
04fff8,c9
04fff9,6c
04fffa,80
04fffb,81
04fffc,65
04fffd,de
04fffe,6b
04ffff,fc
